time_min,pressure_psi,rate_bpm,G
0.000,4070.000,8.000,
0.083,4355.465,8.000,
0.167,4502.685,8.000,
0.250,4621.857,8.000,
0.333,4725.827,8.000,
0.417,4819.783,8.000,
0.500,4906.458,8.000,
0.583,4987.513,8.000,
0.667,5064.048,8.000,
0.750,5136.839,8.000,
0.833,5206.458,8.000,
0.917,5273.342,8.000,
1.000,5337.834,8.000,
1.083,5400.208,8.000,
1.167,5460.690,8.000,
1.250,5519.467,8.000,
1.333,5576.695,8.000,
1.417,5632.510,8.000,
1.500,5687.026,8.000,
1.583,5740.343,8.000,
1.667,5792.549,8.000,
1.750,5843.720,8.000,
1.833,5893.925,8.000,
1.917,5943.226,8.000,
2.000,5991.676,8.000,
2.083,6039.325,8.000,
2.167,6086.218,8.000,
2.250,6132.394,8.000,
2.333,6177.892,8.000,
2.417,6222.743,8.000,
2.500,6266.981,8.000,
2.583,6310.632,8.000,
2.667,6353.723,8.000,
2.750,6396.279,8.000,
2.833,6438.322,8.000,
2.917,6479.874,8.000,
3.000,6520.953,8.000,
3.083,6561.578,8.000,
3.167,6601.766,8.000,
3.250,6641.534,8.000,
3.333,6680.895,8.000,
3.417,6719.865,8.000,
3.500,6758.457,8.000,
3.583,6796.682,8.000,
3.667,6834.554,8.000,
3.750,6872.083,8.000,
3.833,6909.280,8.000,
3.917,6946.154,8.000,
4.000,6982.717,8.000,
4.083,7018.975,8.000,
4.167,7054.939,8.000,
4.250,7090.616,8.000,
4.333,7126.015,8.000,
4.417,7161.142,8.000,
4.500,7196.006,8.000,
4.583,7230.611,8.000,
4.667,7264.966,8.000,
4.750,7299.077,8.000,
4.833,7332.949,8.000,
4.917,7366.588,8.000,
5.003,7400.609,0.000,0.001
5.042,7394.668,0.000,0.016
5.082,7395.002,0.000,0.031
5.123,7392.139,0.000,0.046
5.165,7383.118,0.000,0.061
5.208,7381.182,0.000,0.076
5.251,7380.814,0.000,0.091
5.295,7376.702,0.000,0.106
5.340,7374.082,0.000,0.121
5.385,7369.196,0.000,0.136
5.431,7369.452,0.000,0.151
5.477,7366.045,0.000,0.166
5.523,7361.423,0.000,0.181
5.570,7360.352,0.000,0.196
5.618,7355.844,0.000,0.211
5.666,7350.008,0.000,0.226
5.715,7349.286,0.000,0.241
5.763,7343.459,0.000,0.256
5.813,7343.967,0.000,0.271
5.863,7338.950,0.000,0.286
5.913,7335.525,0.000,0.301
5.964,7331.383,0.000,0.316
6.015,7332.046,0.000,0.331
6.067,7326.154,0.000,0.346
6.119,7322.475,0.000,0.361
6.171,7319.501,0.000,0.376
6.224,7318.150,0.000,0.391
6.277,7314.702,0.000,0.406
6.331,7311.689,0.000,0.421
6.385,7308.624,0.000,0.436
6.439,7308.950,0.000,0.451
6.494,7300.765,0.000,0.466
6.549,7297.471,0.000,0.481
6.605,7293.792,0.000,0.496
6.661,7293.582,0.000,0.511
6.718,7291.545,0.000,0.526
6.774,7286.003,0.000,0.541
6.832,7281.501,0.000,0.556
6.889,7278.489,0.000,0.571
6.947,7278.403,0.000,0.586
7.006,7275.560,0.000,0.601
7.064,7272.137,0.000,0.616
7.124,7266.705,0.000,0.631
7.183,7265.492,0.000,0.647
7.243,7262.260,0.000,0.662
7.303,7259.471,0.000,0.677
7.364,7257.790,0.000,0.692
7.425,7253.515,0.000,0.707
7.487,7251.454,0.000,0.722
7.548,7247.268,0.000,0.737
7.611,7244.754,0.000,0.752
7.673,7242.490,0.000,0.767
7.736,7235.371,0.000,0.782
7.799,7234.713,0.000,0.797
7.863,7231.486,0.000,0.812
7.927,7228.231,0.000,0.827
7.992,7226.048,0.000,0.842
8.056,7226.686,0.000,0.857
8.121,7219.070,0.000,0.872
8.187,7219.852,0.000,0.887
8.253,7211.672,0.000,0.902
8.319,7211.498,0.000,0.917
8.386,7209.632,0.000,0.932
8.453,7207.626,0.000,0.947
8.520,7205.031,0.000,0.962
8.588,7202.359,0.000,0.977
8.656,7197.246,0.000,0.992
8.724,7194.200,0.000,1.007
8.793,7194.029,0.000,1.022
8.862,7189.128,0.000,1.037
8.932,7184.166,0.000,1.052
9.002,7181.666,0.000,1.067
9.072,7179.317,0.000,1.082
9.143,7179.383,0.000,1.097
9.214,7175.915,0.000,1.112
9.285,7174.262,0.000,1.127
9.357,7169.286,0.000,1.142
9.429,7167.726,0.000,1.157
9.502,7165.937,0.000,1.172
9.574,7161.354,0.000,1.187
