time_min,pressure_psi,rate_bpm,G
0.000,5060.000,8.000,
0.083,5414.903,8.000,
0.167,5597.932,8.000,
0.250,5746.092,8.000,
0.333,5875.353,8.000,
0.417,5992.162,8.000,
0.500,6099.921,8.000,
0.583,6200.692,8.000,
0.667,6295.844,8.000,
0.750,6386.341,8.000,
0.833,6472.894,8.000,
0.917,6556.047,8.000,
1.000,6636.225,8.000,
1.083,6713.772,8.000,
1.167,6788.966,8.000,
1.250,6862.040,8.000,
1.333,6933.189,8.000,
1.417,7002.580,8.000,
1.500,7070.357,8.000,
1.583,7136.643,8.000,
1.667,7201.547,8.000,
1.750,7265.165,8.000,
1.833,7327.583,8.000,
1.917,7388.876,8.000,
2.000,7449.111,8.000,
2.083,7508.351,8.000,
2.167,7566.649,8.000,
2.250,7624.058,8.000,
2.333,7680.622,8.000,
2.417,7736.384,8.000,
2.500,7791.381,8.000,
2.583,7845.650,8.000,
2.667,7899.223,8.000,
2.750,7952.131,8.000,
2.833,8004.401,8.000,
2.917,8056.059,8.000,
3.000,8107.131,8.000,
3.083,8157.638,8.000,
3.167,8207.602,8.000,
3.250,8257.042,8.000,
3.333,8305.978,8.000,
3.417,8354.427,8.000,
3.500,8402.406,8.000,
3.583,8449.929,8.000,
3.667,8497.013,8.000,
3.750,8543.671,8.000,
3.833,8589.915,8.000,
3.917,8635.760,8.000,
4.000,8681.215,8.000,
4.083,8726.294,8.000,
4.167,8771.005,8.000,
4.250,8815.361,8.000,
4.333,8859.370,8.000,
4.417,8903.042,8.000,
4.500,8946.385,8.000,
4.583,8989.409,8.000,
4.667,9032.120,8.000,
4.750,9074.528,8.000,
4.833,9116.639,8.000,
4.917,9158.461,8.000,
5.003,9200.609,0.000,0.001
5.042,9192.956,0.000,0.016
5.082,9191.573,0.000,0.031
5.123,9186.990,0.000,0.046
5.165,9176.244,0.000,0.061
5.208,9172.580,0.000,0.076
5.251,9170.479,0.000,0.091
5.295,9164.631,0.000,0.106
5.340,9160.271,0.000,0.121
5.385,9153.642,0.000,0.136
5.431,9152.152,0.000,0.151
5.477,9146.996,0.000,0.166
5.523,9140.621,0.000,0.181
5.570,9137.795,0.000,0.196
5.618,9131.530,0.000,0.211
5.666,9123.933,0.000,0.226
5.715,9121.449,0.000,0.241
5.763,9113.857,0.000,0.256
5.813,9112.597,0.000,0.271
5.863,9105.810,0.000,0.286
5.913,9100.614,0.000,0.301
5.964,9094.699,0.000,0.316
6.015,9093.588,0.000,0.331
6.067,9085.919,0.000,0.346
6.119,9080.462,0.000,0.361
6.171,9075.709,0.000,0.376
6.224,9072.577,0.000,0.391
6.277,9067.348,0.000,0.406
6.331,9062.553,0.000,0.421
6.385,9057.704,0.000,0.436
6.439,9056.246,0.000,0.451
6.494,9046.277,0.000,0.466
6.549,9041.197,0.000,0.481
6.605,9035.733,0.000,0.496
6.661,9033.737,0.000,0.511
6.718,9029.914,0.000,0.526
6.774,9022.586,0.000,0.541
6.832,9016.298,0.000,0.556
6.889,9011.501,0.000,0.571
6.947,9009.630,0.000,0.586
7.006,9005.001,0.000,0.601
7.064,8999.794,0.000,0.616
7.124,8992.578,0.000,0.631
7.183,8989.582,0.000,0.647
7.243,8984.567,0.000,0.662
7.303,8979.996,0.000,0.677
7.364,8976.534,0.000,0.692
7.425,8970.480,0.000,0.707
7.487,8966.641,0.000,0.722
7.548,8960.677,0.000,0.737
7.611,8956.387,0.000,0.752
7.673,8952.348,0.000,0.767
7.736,8943.457,0.000,0.782
7.799,8941.026,0.000,0.797
7.863,8936.029,0.000,0.812
7.927,8931.006,0.000,0.827
7.992,8927.057,0.000,0.842
8.056,8925.931,0.000,0.857
8.121,8916.553,0.000,0.872
8.187,8915.575,0.000,0.887
8.253,8905.636,0.000,0.902
8.319,8903.707,0.000,0.917
8.386,8900.086,0.000,0.932
8.453,8896.329,0.000,0.947
8.520,8891.985,0.000,0.962
8.588,8887.566,0.000,0.977
8.656,8880.710,0.000,0.992
8.724,8875.922,0.000,1.007
8.793,8874.013,0.000,1.022
8.862,8867.376,0.000,1.037
8.932,8860.680,0.000,1.052
9.002,8856.449,0.000,1.067
9.072,8852.373,0.000,1.082
9.143,8850.714,0.000,1.097
9.214,8845.525,0.000,1.112
9.285,8842.153,0.000,1.127
9.357,8835.461,0.000,1.142
9.429,8832.188,0.000,1.157
9.502,8828.691,0.000,1.172
9.574,8822.401,0.000,1.187
9.648,8819.527,0.000,1.202
9.721,8812.895,0.000,1.217
9.795,8809.110,0.000,1.232
9.869,8804.704,0.000,1.247
9.944,8798.719,0.000,1.262
10.019,8797.741,0.000,1.277
10.094,8791.497,0.000,1.292
10.170,8788.143,0.000,1.307
10.246,8784.774,0.000,1.322
10.322,8780.414,0.000,1.337
10.399,8776.573,0.000,1.352
10.476,8770.779,0.000,1.367
10.554,8765.878,0.000,1.382
10.631,8762.326,0.000,1.397
10.710,8754.885,0.000,1.412
10.788,8751.153,0.000,1.427
10.867,8747.203,0.000,1.442
10.946,8743.669,0.000,1.457
11.026,8742.292,0.000,1.472
11.106,8735.523,0.000,1.487
11.186,8732.433,0.000,1.502
11.267,8731.658,0.000,1.517
11.348,8724.230,0.000,1.532
11.429,8722.314,0.000,1.547
11.511,8714.883,0.000,1.562
11.593,8712.264,0.000,1.577
11.676,8706.713,0.000,1.592
11.758,8703.887,0.000,1.607
11.842,8702.212,0.000,1.622
11.925,8693.057,0.000,1.637
12.009,8693.374,0.000,1.652
12.093,8688.989,0.000,1.667
12.178,8683.347,0.000,1.682
12.263,8677.679,0.000,1.697
12.348,8676.765,0.000,1.712
