time_min,pressure_psi,rate_bpm,G
0.000,4400.000,8.000,
0.083,4708.611,8.000,
0.167,4867.767,8.000,
0.250,4996.602,8.000,
0.333,5109.002,8.000,
0.417,5210.576,8.000,
0.500,5304.279,8.000,
0.583,5391.906,8.000,
0.667,5474.647,8.000,
0.750,5553.340,8.000,
0.833,5628.604,8.000,
0.917,5700.910,8.000,
1.000,5770.631,8.000,
1.083,5838.063,8.000,
1.167,5903.449,8.000,
1.250,5966.991,8.000,
1.333,6028.860,8.000,
1.417,6089.200,8.000,
1.500,6148.136,8.000,
1.583,6205.776,8.000,
1.667,6262.215,8.000,
1.750,6317.535,8.000,
1.833,6371.811,8.000,
1.917,6425.109,8.000,
2.000,6477.488,8.000,
2.083,6529.000,8.000,
2.167,6579.695,8.000,
2.250,6629.616,8.000,
2.333,6678.802,8.000,
2.417,6727.290,8.000,
2.500,6775.114,8.000,
2.583,6822.305,8.000,
2.667,6868.890,8.000,
2.750,6914.896,8.000,
2.833,6960.349,8.000,
2.917,7005.269,8.000,
3.000,7049.679,8.000,
3.083,7093.598,8.000,
3.167,7137.045,8.000,
3.250,7180.037,8.000,
3.333,7222.590,8.000,
3.417,7264.719,8.000,
3.500,7306.440,8.000,
3.583,7347.765,8.000,
3.667,7388.707,8.000,
3.750,7429.279,8.000,
3.833,7469.492,8.000,
3.917,7509.356,8.000,
4.000,7548.883,8.000,
4.083,7588.081,8.000,
4.167,7626.961,8.000,
4.250,7665.531,8.000,
4.333,7703.800,8.000,
4.417,7741.776,8.000,
4.500,7779.465,8.000,
4.583,7816.877,8.000,
4.667,7854.018,8.000,
4.750,7890.894,8.000,
4.833,7927.512,8.000,
4.917,7963.879,8.000,
5.003,8000.609,0.000,0.001
5.042,7994.917,0.000,0.016
5.082,7995.495,0.000,0.031
5.123,7992.873,0.000,0.046
5.165,7984.087,0.000,0.061
5.208,7982.381,0.000,0.076
5.251,7982.239,0.000,0.091
5.295,7978.348,0.000,0.106
5.340,7975.944,0.000,0.121
5.385,7971.268,0.000,0.136
5.431,7971.730,0.000,0.151
5.477,7968.524,0.000,0.166
