time_min,pressure_psi,rate_bpm,G
0.000,4730.000,8.000,
0.083,5061.757,8.000,
0.167,5232.850,8.000,
0.250,5371.347,8.000,
0.333,5492.178,8.000,
0.417,5601.369,8.000,
0.500,5702.100,8.000,
0.583,5796.299,8.000,
0.667,5885.245,8.000,
0.750,5969.840,8.000,
0.833,6050.749,8.000,
0.917,6128.479,8.000,
1.000,6203.428,8.000,
1.083,6275.917,8.000,
1.167,6346.207,8.000,
1.250,6414.515,8.000,
1.333,6481.024,8.000,
1.417,6545.890,8.000,
1.500,6609.246,8.000,
1.583,6671.209,8.000,
1.667,6731.881,8.000,
1.750,6791.350,8.000,
1.833,6849.697,8.000,
1.917,6906.992,8.000,
2.000,6963.299,8.000,
2.083,7018.675,8.000,
2.167,7073.172,8.000,
2.250,7126.837,8.000,
2.333,7179.712,8.000,
2.417,7231.837,8.000,
2.500,7283.248,8.000,
2.583,7333.978,8.000,
2.667,7384.057,8.000,
2.750,7433.514,8.000,
2.833,7482.375,8.000,
2.917,7530.664,8.000,
3.000,7578.405,8.000,
3.083,7625.618,8.000,
3.167,7672.323,8.000,
3.250,7718.539,8.000,
3.333,7764.284,8.000,
3.417,7809.573,8.000,
3.500,7854.423,8.000,
3.583,7898.847,8.000,
3.667,7942.860,8.000,
3.750,7986.475,8.000,
3.833,8029.703,8.000,
3.917,8072.558,8.000,
4.000,8115.049,8.000,
4.083,8157.187,8.000,
4.167,8198.983,8.000,
4.250,8240.446,8.000,
4.333,8281.585,8.000,
4.417,8322.409,8.000,
4.500,8362.925,8.000,
4.583,8403.143,8.000,
4.667,8443.069,8.000,
4.750,8482.711,8.000,
4.833,8522.076,8.000,
4.917,8561.170,8.000,
5.003,8600.609,0.000,0.001
5.042,8543.607,0.000,0.016
5.082,8492.874,0.000,0.031
5.123,8438.942,0.000,0.046
5.165,8383.699,0.000,0.061
5.208,8344.729,0.000,0.076
5.251,8314.564,0.000,0.091
5.295,8285.642,0.000,0.106
5.340,8261.858,0.000,0.121
5.385,8238.592,0.000,0.136
5.431,8222.664,0.000,0.151
5.477,8204.849,0.000,0.166
5.523,8187.285,0.000,0.181
5.570,8174.503,0.000,0.196
5.618,8159.331,0.000,0.211
5.666,8143.733,0.000,0.226
5.715,8134.035,0.000,0.241
5.763,8119.921,0.000,0.256
5.813,8112.753,0.000,0.271
5.863,8100.602,0.000,0.286
5.913,8090.531,0.000,0.301
5.964,8080.183,0.000,0.316
6.015,8075.037,0.000,0.331
6.067,8063.698,0.000,0.346
6.119,8054.902,0.000,0.361
6.171,8047.115,0.000,0.376
6.224,8041.230,0.000,0.391
6.277,8033.505,0.000,0.406
6.331,8026.452,0.000,0.421
6.385,8019.569,0.000,0.436
6.439,8016.283,0.000,0.451
6.494,8004.676,0.000,0.466
6.549,7998.140,0.000,0.481
6.605,7991.386,0.000,0.496
6.661,7988.258,0.000,0.511
6.718,7983.451,0.000,0.526
6.774,7975.278,0.000,0.541
6.832,7968.275,0.000,0.556
6.889,7962.887,0.000,0.571
6.947,7960.540,0.000,0.586
7.006,7955.546,0.000,0.601
7.064,7950.078,0.000,0.616
7.124,7942.699,0.000,0.631
7.183,7939.633,0.000,0.647
7.243,7934.637,0.000,0.662
7.303,7930.169,0.000,0.677
7.364,7926.890,0.000,0.692
7.425,7921.094,0.000,0.707
7.487,7917.585,0.000,0.722
7.548,7912.020,0.000,0.737
7.611,7908.195,0.000,0.752
7.673,7904.683,0.000,0.767
7.736,7896.378,0.000,0.782
7.799,7894.591,0.000,0.797
7.863,7890.291,0.000,0.812
7.927,7886.016,0.000,0.827
7.992,7882.865,0.000,0.842
8.056,7882.584,0.000,0.857
8.121,7874.096,0.000,0.872
8.187,7874.050,0.000,0.887
8.253,7865.085,0.000,0.902
8.319,7864.168,0.000,0.917
8.386,7861.598,0.000,0.932
8.453,7858.927,0.000,0.947
8.520,7855.703,0.000,0.962
8.588,7852.437,0.000,0.977
8.656,7846.765,0.000,0.992
